run_date,ticker,sector,score,entry_price,original_stop,atr,exit_price,exit_day,exit_reason,peak_close,final_stop,stop_moved,return_pct,prob,allocation_pct
2025-06-02 20:32,BAG,ConsStaples,80,693.96,677.08,16.8886,683.96,5,friday_close,699.96,677.08,False,-1.44,61.7,19.6
2025-06-02 20:32,BEZ,Insurance,75,948.0,925.67,22.3315,964.0,5,friday_close,973.0,925.67,False,1.69,60.7,17.9
2025-06-02 20:32,GAW,ConsDis,75,15506.49,15134.86,371.6217,16106.35,5,friday_close,16126.35,15134.86,False,3.87,60.7,17.9
2025-06-09 20:32,FCSS,FinServices,95,255.41,248.68,6.7273,258.91,5,friday_close,259.41,248.68,False,1.37,64.9,23.0
2025-06-09 20:32,FOUR,Media,90,3469.38,3329.05,140.3234,3519.37,5,friday_close,3519.37,3329.05,False,1.44,63.8,21.3
2025-06-09 20:32,WEIR,Industrials,85,2455.83,2410.26,45.5688,2535.82,5,friday_close,2535.82,2410.26,False,3.26,62.8,19.7
2025-06-09 20:32,GFRD,Materials,80,409.39,394.22,15.1762,411.89,5,friday_close,413.89,394.22,False,0.61,61.7,18.0
2025-06-09 20:32,MTRO,Banking,80,114.8,108.75,6.0514,132.8,5,friday_close,132.8,108.75,False,15.68,61.7,18.0
2025-06-16 20:32,NG,Utilities,100,1052.85,1036.25,16.5986,1076.85,5,friday_close,1076.85,1036.25,False,2.28,65.9,23.3
2025-06-16 20:32,PPET,FinServices,95,561.87,546.12,15.7555,558.92,5,friday_close,561.91,546.12,False,-0.53,64.9,21.9
2025-06-16 20:32,CCH,ConsStaples,85,3918.0,3858.83,59.172,3858.83,1,stop_hit,3918.0,3858.83,False,-1.51,62.8,18.8
2025-06-16 20:32,DNLM,Retail,85,1178.72,1144.83,33.8884,1167.72,5,friday_close,1178.72,1144.83,False,-0.93,62.8,18.8
2025-06-16 20:32,AAF,Telecoms,80,177.06,172.7,4.3566,172.7,3,stop_hit,177.06,172.7,False,-2.46,61.7,17.2
2025-06-23 20:32,NG,Utilities,85,1076.85,1060.22,16.625,1061.35,5,friday_close,1076.85,1060.22,False,-1.44,62.8,20.7
2025-06-23 20:32,MAB,Leisure,85,283.0,274.08,8.9245,286.5,5,friday_close,287.5,274.08,False,1.24,62.8,20.7
2025-06-23 20:32,PFD,ConsStaples,85,201.47,195.79,5.6832,199.4,5,friday_close,202.47,195.79,False,-1.03,62.8,20.7
2025-06-23 20:32,GNS,Pharma,80,1959.75,1900.71,59.0358,2044.74,5,friday_close,2044.74,1900.71,False,4.34,61.7,18.9
2025-06-23 20:32,HTWS,Telecoms,80,118.0,114.12,3.8753,121.6,5,friday_close,121.6,114.12,False,3.05,61.7,18.9
2025-06-30 20:32,SN,Pharma,95,1112.91,1096.02,16.8899,1108.91,5,friday_close,1118.91,1096.02,False,-0.36,64.9,22.2
2025-06-30 20:32,GAMA,Telecoms,90,1137.91,1104.66,33.2511,1125.92,5,friday_close,1137.91,1104.66,False,-1.05,63.8,20.6
2025-06-30 20:32,III,FinServices,85,4119.54,4022.43,97.1107,4175.53,5,friday_close,4175.53,4022.43,False,1.36,62.8,19.1
2025-06-30 20:32,BEZ,Insurance,85,935.0,916.74,18.2587,916.74,2,stop_hit,935.0,916.74,False,-1.95,62.8,19.1
2025-06-30 20:32,HSBA,Banking,85,881.67,867.73,13.9393,893.57,5,friday_close,893.57,867.73,False,1.35,62.8,19.1
2025-07-07 20:32,EXPN,Industrials,95,3864.82,3795.5,69.3258,3852.82,5,friday_close,3903.82,3795.5,False,-0.31,64.9,23.3
2025-07-07 20:32,ASHM,FinServices,85,158.57,153.36,5.2111,170.06,5,friday_close,170.06,153.36,False,7.25,62.8,20.0
2025-07-07 20:32,BAG,ConsStaples,85,694.96,678.92,16.044,678.92,2,stop_hit,694.96,678.92,False,-2.31,62.8,20.0
2025-07-07 20:32,FAN,Materials,85,609.93,595.5,14.4227,614.92,5,friday_close,622.92,595.5,False,0.82,62.8,20.0
2025-07-07 20:32,GAW,ConsDis,75,16016.37,15681.35,335.0202,16077.21,5,friday_close,16077.21,15681.35,False,0.38,60.7,16.7
2025-07-14 20:32,ABF,ConsStaples,85,2087.59,2048.78,38.8013,2200.56,5,friday_close,2200.56,2048.78,False,5.41,62.8,20.0
2025-07-14 20:32,BA,Industrials,85,1910.36,1871.45,38.9118,1871.45,2,stop_hit,1910.36,1871.45,False,-2.04,62.8,20.0
2025-07-14 20:32,LLOY,Banking,85,76.49,75.05,1.4425,78.81,5,friday_close,78.81,75.05,False,3.03,62.8,20.0
2025-07-14 20:32,NG,Utilities,85,1048.85,1031.18,17.667,1072.85,5,friday_close,1072.85,1031.18,False,2.29,62.8,20.0
2025-07-14 20:32,NXT,Retail,85,12281.08,12075.37,205.7159,12246.1,5,friday_close,12286.08,12075.37,False,-0.28,62.8,20.0
2025-07-21 20:32,NXT,Retail,95,12246.1,12058.24,187.852,12111.14,5,friday_close,12246.1,12058.24,False,-1.1,64.9,20.9
2025-07-21 20:32,SVT,Utilities,95,2721.52,2674.42,47.104,2674.42,4,stop_hit,2782.51,2674.42,False,-1.73,64.9,20.9
2025-07-21 20:32,MRC,FinServices,95,254.47,251.17,3.2965,253.47,5,friday_close,257.97,251.17,False,-0.39,64.9,20.9
2025-07-21 20:32,BLND,RealEstate,90,361.29,353.77,7.5216,359.89,5,friday_close,362.29,353.77,False,-0.39,63.8,19.4
2025-07-21 20:32,CCH,ConsStaples,85,4012.0,3950.16,61.839,3950.16,5,stop_hit,4034.0,3950.16,False,-1.54,62.8,18.0
2025-07-28 20:32,THRL,FinServices,95,101.55,98.58,2.9718,98.58,4,stop_hit,101.55,98.58,False,-2.93,64.9,24.5
2025-07-28 20:32,GSK,Pharma,80,1397.61,1364.72,32.8937,1398.11,5,friday_close,1462.09,1364.72,False,0.04,61.7,19.3
2025-07-28 20:32,PSON,Media,80,1054.92,1039.99,14.9336,1127.42,5,friday_close,1137.42,1039.99,False,6.87,61.7,19.3
