run_date,ticker,sector,score,entry_price,stop_price,atr,exit_price,exit_day,exit_reason,trigger_close,trigger_day,return_pct,prob,allocation_pct
2025-06-16 22:56,AAF,Telecoms,80,177.06,172.7,4.3566,171.99,4,stop_next_open,171.59,3,-2.86,61.7,17.2
2025-06-23 22:56,NG,Utilities,85,1076.85,1060.22,16.625,1061.35,5,friday_close,,,-1.44,62.8,20.7
2025-06-23 22:56,MAB,Leisure,85,283.0,274.08,8.9245,286.5,5,friday_close,,,1.24,62.8,20.7
2025-06-23 22:56,PFD,ConsStaples,85,201.47,195.79,5.6832,199.4,5,friday_close,,,-1.03,62.8,20.7
2025-06-23 22:56,GNS,Pharma,80,1959.75,1900.71,59.0359,2044.74,5,friday_close,,,4.34,61.7,18.9
2025-06-23 22:56,HTWS,Telecoms,80,118.0,114.12,3.8753,121.6,5,friday_close,,,3.05,61.7,18.9
2025-06-30 22:56,SN,Pharma,95,1112.91,1096.02,16.8899,1108.91,5,friday_close,,,-0.36,64.9,22.2
2025-06-30 22:56,GAMA,Telecoms,90,1137.91,1104.66,33.2511,1125.92,5,friday_close,,,-1.05,63.8,20.6
2025-06-30 22:56,III,FinServices,85,4119.54,4022.43,97.1107,4175.53,5,friday_close,,,1.36,62.8,19.1
2025-06-30 22:56,BEZ,Insurance,85,935.0,916.74,18.2587,900.5,3,stop_next_open,900.5,2,-3.69,62.8,19.1
2025-06-30 22:56,HSBA,Banking,85,881.67,867.73,13.9393,893.57,5,friday_close,,,1.35,62.8,19.1
2025-07-07 22:56,EXPN,Industrials,95,3864.82,3795.5,69.3258,3852.82,5,friday_close,,,-0.31,64.9,23.3
2025-07-07 22:56,ASHM,FinServices,85,158.57,153.36,5.2111,170.06,5,friday_close,,,7.25,62.8,20.0
2025-07-07 22:56,BAG,ConsStaples,85,694.96,678.92,16.044,669.97,3,stop_next_open,673.97,2,-3.6,62.8,20.0
2025-07-07 22:56,FAN,Materials,85,609.93,595.5,14.4227,614.92,5,friday_close,,,0.82,62.8,20.0
2025-07-07 22:56,GAW,ConsDis,75,16016.37,15681.35,335.0202,16077.21,5,friday_close,,,0.38,60.7,16.7
2025-07-14 22:56,ABF,ConsStaples,85,2087.59,2048.78,38.8013,2200.56,5,friday_close,,,5.41,62.8,20.0
2025-07-14 22:56,BA,Industrials,85,1910.36,1871.45,38.9118,1858.37,3,stop_next_open,1860.37,2,-2.72,62.8,20.0
2025-07-14 22:56,LLOY,Banking,85,76.49,75.05,1.4425,78.81,5,friday_close,,,3.03,62.8,20.0
2025-07-14 22:56,NG,Utilities,85,1048.85,1031.18,17.667,1072.85,5,friday_close,,,2.29,62.8,20.0
2025-07-14 22:56,NXT,Retail,85,12281.08,12075.37,205.7158,12246.1,5,friday_close,,,-0.28,62.8,20.0
2025-07-21 22:56,NXT,Retail,95,12246.1,12058.24,187.8519,12111.14,5,friday_close,,,-1.1,64.9,20.9
