run_date,ticker,sector,score,entry_price,target_price,stop_price,limit_price,exit_price,exit_day,exit_reason,return_pct,prob,allocation_pct
2025-05-05 20:11,LSEG,FinServices,75,11564.41,11872.95,11255.86,11813.59,11294.42,5,friday_close,-2.33,60.7,20.0
2025-05-05 20:11,PRU,Insurance,75,819.15,844.03,794.28,839.81,871.15,5,friday_close,6.35,60.7,20.0
2025-05-05 20:11,RR,Industrials,75,783.97,814.48,753.45,810.41,784.97,5,friday_close,0.13,60.7,20.0
2025-05-12 20:11,HSX,Insurance,85,1149.91,1179.56,1120.26,1173.66,1188.9,5,friday_close,3.39,62.8,23.0
2025-05-12 20:11,CTEC,Pharma,75,261.98,267.88,256.09,266.54,275.78,5,friday_close,5.27,60.7,19.2
2025-05-12 20:11,LLOY,Banking,75,73.03,74.89,71.17,74.52,75.83,5,friday_close,3.83,60.7,19.2
2025-05-12 20:11,DOM,Leisure,75,272.55,280.52,264.59,279.12,267.35,5,friday_close,-1.91,60.7,19.2
2025-05-12 20:11,JII,FinServices,75,1025.77,1048.76,1002.79,1043.52,1081.76,5,friday_close,5.46,60.7,19.2
2025-05-19 20:11,CNA,Utilities,85,151.98,155.75,148.22,154.97,158.58,4,friday_close,4.34,62.8,21.4
2025-05-19 20:11,REL,Media,85,4105.78,4183.61,4027.96,4162.69,4112.78,4,friday_close,0.17,62.8,21.4
2025-05-19 20:11,AZN,Pharma,80,10370.22,10669.35,10071.08,10616.0,10434.21,4,friday_close,0.62,61.7,19.6
2025-05-19 20:11,BHMG,FinServices,80,393.5,400.62,386.38,398.62,392.0,4,friday_close,-0.38,61.7,19.6
2025-05-19 20:11,ABF,ConsStaples,75,2086.38,2142.29,2030.47,2131.58,2083.38,4,friday_close,-0.14,60.7,17.9
2025-05-26 20:11,III,FinServices,85,4116.11,4227.56,4004.67,4206.42,4061.13,5,friday_close,-1.34,62.8,22.2
2025-05-26 20:11,TBCG,Banking,85,4577.0,4757.09,4396.91,4733.3,4437.09,5,friday_close,-3.06,62.8,22.2
2025-05-26 20:11,NG,Utilities,75,1090.53,1113.28,1067.78,1107.71,1043.35,5,friday_close,-4.33,60.7,18.5
